!EXCLAMATION-POINT = éksklemēśenpōnt
"CLOSE-QUOTE = klòzkwòt
"DOUBLE-QUOTE = dabelkwòt
"END-OF-QUOTE = éndevkwòt
"END-QUOTE = éndkwòt
"IN-QUOTES = inkwòts
"QUOTE = kwòt
"UNQUOTE = ankwòt
#HASH-MARK = hámark
#POUND-SIGN = pàndsān
#SHARP-SIGN = śarpsān
%PERCENT = persént
&AMPERSAND = ámpersánd
'ALLO = alò
'APOSTROPHE = epostrefi
'BOUT = bàt
'CAUSE = kez
'COURSE = kors
'CUSE = kyúz
'EM = em
'END-INNER-QUOTE = éndinerkwòt
'END-QUOTE = éndkwòt
'FRISCO = friskò
'GAIN = gén
'INNER-QUOTE = inerkwòt
'KAY = kē
'M = em
'N = en
'QUOTE = kwòt
'ROUND = rànd
'S = és
'SINGLE-QUOTE = siŋgelkwòt
'TIL = til
'TIS = tiz
'TWAS = twaz
(BEGIN-PARENS = biginperénz
(IN-PARENTHESES = inperénŧesíz
(LEFT-PAREN = léftperén
(OPEN-PARENTHESES = òpenperénŧesíz
(PAREN = perén
(PARENS = perénz
(PARENTHESES = perénŧesíz
)CLOSE-PAREN = klòzperén
)CLOSE-PARENTHESES = klòzperénŧesíz
)END-PAREN = éndperén
)END-PARENS = éndperénz
)END-PARENTHESES = éndperénŧesíz
)END-THE-PAREN = éndđeperén
)PAREN = perén
)PARENS = perénz
)RIGHT-PAREN = rātpéren
)UN-PARENTHESES = anperénŧesíz
+PLUS = plus
,COMMA = kome
--DASH = dáś
-DASH = dáś
-HYPHEN = hāfen
...ELLIPSIS = ilipsis
.DECIMAL = désemel
.DOT = dot
.FULL-STOP = fulstop
.PERIOD = piried
.POINT = pōnt
/SLASH = sláś
3-D = ŧrídí
3D = ŧrídí
:COLON = kòlen
;SEMI-COLON = sémikòlen
;SEMI-COLON(1) = sémikòlen
?QUESTION-MARK = kwéscenmark
A = e
A(1) = ē
A'S = ēz
A. = ē
A.'S = ēz
A.S = ēz
A42128 = ēfortúwantúēt
AA = ēē
AAA = tripelē
AABERG = aberg
AACHEN = aken
AACHENER = akener
AAH = a
AAKER = aker
AALIYAH = alía
AALSETH = alséŧ
AAMODT = amet
AANCOR = ankor
AARDEMA = erdéme
AARDVARK = ardvark
AARDVARKS = ardvarks
AARGH = arg
AARON = éren
AARON'S = érenz
AARONS = érenz
AARONSON = érensen
AARONSON(1) = arensen
AARONSON'S = érensenz
AARONSON'S(1) = arensenz
AARTI = artí
AASE = as
AASEN = asen
AB = áb
ABA = ēbíē
ABABA = ebabe
ABABA(1) = abebe
ABACHA = ábeke
ABACK = ebák
ABACO = ábekò
ABACUS = ábekes
ABAD = ebad
ABADAKA = ebádeke
ABADI = ebádi
ABADIE = ebádi
ABAIR = ebér
ABALKIN = ebalkin
ABALONE = ábelòni
ABALONES = ábelòniz
ABALOS = ebalòz
ABANDON = ebánden
ABANDONED = ebándend
ABANDONING = ebándeniŋ
ABANDONMENT = ebándenment
ABANDONMENTS = ebándenments
ABANDONS = ebándenz
ABANTO = ebántò
ABARCA = ebarke
ABARE = ebari
ABASCAL = ábeskel
ABASH = ebáś
ABASHED = ebáśt
ABASIA = ebēźye
ABATE = ebēt
ABATED = ebētid
ABATEMENT = ebētment
ABATEMENTS = ebētments
ABATES = ebēts
ABATING = ebētiŋ
ABBA = ábe
ABBADO = ebadò
ABBAS = ebas
ABBASI = ebasi
ABBATE = abēt
ABBATIELLO = ebetiélò
ABBE = ábi
ABBE(1) = ebē
ABBENHAUS = ábenhàs
ABBETT = ebét
ABBEVILLE = ábvil
ABBEY = ábi
ABBEY'S = ábiz
ABBIE = ábi
ABBITT = ábit
ABBOT = ábet
ABBOTSTOWN = ábetstàn
ABBOTT = ábet
ABBOTT'S = ábets
ABBOTTSTOWN = ábetstàn
ABBOUD = ebúd
ABBOUD(1) = ebàd
ABBREVIATE = ebríviēt
ABBREVIATED = ebríviētid
ABBREVIATES = ebríviēts
ABBREVIATING = ebríviētiŋ
ABBREVIATION = ebríviēśen
ABBREVIATIONS = ebríviēśenz
ABBRUZZESE = ebrútsēzi
ABBS = ábz
ABBY = ábi
ABC = ēbísí
ABC'S = ēbísíz
ABCO = ábkò
ABCOTEK = ábkòték
ABCS = ēbísíz
ABDALLA = ábdále
ABDALLAH = ábdále
ABDEL = ábdél
ABDELLA = ábdéle
ABDICATE = ábdekēt
ABDICATED = ábdekēted
ABDICATES = ábdekēts
ABDICATING = ábdikētiŋ
ABDICATION = ábdikēśen
ABDNOR = ábdner
ABDO = ábdò
ABDOLLAH = ábdole
ABDOMEN = ebdòmen
ABDOMEN(1) = ábdemen
ABDOMINAL = ebdomenel
ABDOMINAL(1) = ebdomenel
ABDUCT = ebdakt
ABDUCTED = ebdaktid
ABDUCTED(1) = ebdaktid
ABDUCTEE = ebdaktí
ABDUCTEES = ebdaktíz
ABDUCTING = ebdaktiŋ
ABDUCTING(1) = ebdaktiŋ
ABDUCTION = ebdakśen
ABDUCTION(1) = ebdakśen
ABDUCTIONS = ebdakśenz
ABDUCTIONS(1) = ebdakśenz
ABDUCTOR = ebdakter
ABDUCTOR(1) = ebdakter
ABDUCTORS = ebdakterz
ABDUCTORS(1) = ebdakterz
ABDUCTS = ebdakts
ABDUL = ebdúl
ABDULAZIZ = ebdúlezíz
ABDULLA = ebdúle
ABDULLAH = ábdale
ABE = ēb
ABED = ebéd
ABEDI = ebédi
ABEE = ebí
ABEL = ēbel
ABELA = ebéle
ABELARD = ábilerd
ABELE = ebél
ABELES = ebélz
ABELES(1) = ēbelíz
ABELL = ēbel
ABELLA = ebéle
ABELN = ábiln
ABELOW = ábelò
ABELS = ēbelz
ABELSON = ábilsen
ABEND = ábénd
ABEND(1) = ebénd
ABENDROTH = ábindróŧ
ABER = ēber
ABERCROMBIE = áberkrombi
ABERDEEN = áberdín
ABERFORD = ēberferd
ABERG = áberg
ABERLE = áberel
ABERLE(1) = áberl
ABERMIN = ábermin
ABERNATHY = ábernáŧi
ABERNETHY = ábernéŧi
ABERRANT = ebérent
ABERRATION = áberēśen
ABERRATIONAL = áberēśenel
ABERRATIONS = áberēśenz
ABERT = ábert
ABET = ebét
ABETTED = ebétid
ABETTING = ebétiŋ
ABEX = ēbéks
ABEYANCE = ebēens
ABEYTA = ebēte
ABHOR = ebhor
ABHORRED = ebhord
ABHORRENCE = ebhorens
ABHORRENT = ebhorent
ABHORS = ebhorz
ABIAM = ēbiem
ABIAM'S = ēbiemz
ABID = ēbid
ABIDE = ebād
ABIDED = ebādid
ABIDES = ebādz
ABIDING = ebādiŋ
ABIDJAN = ebijan
ABIE = ábi
ABIGAIL = ábegēl
ABILA = ebíle
ABILENE = ábilín
ABILITIES = ebiletíz
ABILITY = ebiletí
ABIMAEL = ábimēl
ABIMAELS = ábimēlz
ABINGDON = ábiŋden
ABINGTON = ábiŋten
ABIO = abiò
ABIOLA = abiòle
ABIOLA'S = abiòlez
ABIOMED = ēbíeméd
ABIQUIU = ebikyú
ABITIBI = ábitíbi
ABITZ = ábits
ABJECT = ábjékt
ABKHAZIA = ebkazye
ABKHAZIA(1) = ebkázye
ABKHAZIAN = ebkazien
ABKHAZIAN(1) = ebkázien
ABKHAZIAN(2) = ebkazyen
ABKHAZIAN(3) = ebkázyen
ABKHAZIANS = ebkazienz
ABKHAZIANS(1) = ebkázienz
ABLAZE = eblēz
ABLE = ēbel
ABLE-BODIED = ēbelbodid
ABLED = ēbeld
ABLER = ēbeler
ABLER(1) = ēbler
ABLES = ēbelz
ABLEST = ēbelst
ABLEST(1) = ēblest
ABLOOM = eblúm
ABLY = ēbli
ABNEGATION = ábnégēśen
ABNER = ábner
ABNEY = ábni
ABNORMAL = ebnormel
ABNORMALITIES = ábnormáletiz
ABNORMALITY = ábnormáleti
ABNORMALLY = ebnormeli
ABO = abò
ABO'S = abòz
ABOARD = ebord
ABODE = ebòd
ABOHALIMA = ebehelíme
ABOLISH = eboliś
ABOLISHED = eboliśt
ABOLISHES = eboliśiz
ABOLISHING = eboliśiŋ
ABOLITION = ábeliśen
ABOLITIONISM = ábeliśenizem
ABOLITIONIST = ábeliśenest
ABOLITIONISTS = ábeliśenests
ABOLITIONISTS(1) = ábeliśenes
ABOMINABLE = ebomenebel
ABOMINATION = ebomenēśen
ABOMINATIONS = ebomenēśenz
ABOOD = ebúd
ABOODI = ebúdi
ABOR = ebor
ABORIGINAL = áberijenel
ABORIGINE = áberijeni
ABORIGINES = áberijeniz
ABORN = eborn
ABORT = ebort
ABORTED = ebortid
ABORTIFACIENT = ebortefēśent
ABORTIFACIENTS = ebortefēśents
ABORTING = ebortiŋ
ABORTION = eborśen
ABORTIONIST = eborśenist
ABORTIONISTS = eborśenists
ABORTIONISTS(1) = eborśenis
ABORTIONS = eborśenz
ABORTIVE = ebortiv
ABORTS = eborts
ABOTT = ebot
ABOU = ebú
ABOUD = ebúd
ABOUHALIMA = abúhelíme
ABOUHALIMA'S = abúhelímez
ABOUND = ebànd
ABOUNDED = ebàndid
ABOUNDING = ebàndiŋ
ABOUNDS = ebàndz
ABOUT = ebàt
ABOUT'S = ebàts
ABOVE = ebav
ABOVE'S = ebavz
ABOVEBOARD = ebavbord
ABPLANALP = ábplenelp
ABRA = abre
ABRACADABRA = ábrekedábre
ABRAHAM = ēbrehám
ABRAHAMIAN = ábrehēmien
ABRAHAMS = ēbrehámz
ABRAHAMSEN = ebrehámsen
ABRAHAMSON = ebráhemsen
ABRAM = ebrám
ABRAM'S = ēbremz
ABRAMCZYK = abremcik
ABRAMO = ebramò
ABRAMOVITZ = ebramevits
ABRAMOWICZ = ebramevic
ABRAMOWITZ = ebramewits
ABRAMS = ēbremz
ABRAMS'S = ēbremziz
ABRAMSON = ēbremsen
ABRASION = ebrēźen
ABRASIONS = ebrēźenz
ABRASIVE = ebrēsiv
ABRASIVES = ebrēsivz
ABRAXA = ebrákse
ABRAXA'S = ebráksez
ABRAXAS = ebráksez
ABREAST = ebrést
ABREGO = ebrégò
ABREU = ebrú
ABRIDGE = ebrij
ABRIDGED = ebrijd
ABRIDGEMENT = ebrijment
ABRIDGES = ebrijez
ABRIDGING = ebrijiŋ
ABRIL = ebril
ABROAD = ebród
ABROGATE = ábregēt
ABROGATED = ábregētid
ABROGATING = ábregētiŋ
ABROGATION = ábregēśen
ABROL = ebròl
ABRON = ebron
ABRUPT = ebrapt
ABRUPTLY = ebraptli
ABRUPTNESS = ebraptnes
ABRUTYN = ēbrútin
ABRUZZESE = ebrútsēzi
ABRUZZO = ebrúzò
ABS = ēbíés
ABS(1) = ábz
ABSALOM = ábselem
ABSARAKA = ebsareke
ABSCAM = ábskem
ABSCESS = ábsés
ABSCOND = ebskond
ABSCONDED = ebskonded
ABSCONDING = ebskondiŋ
ABSCONDS = ebskondz
ABSECON = ábsekón
ABSENCE = ábsens
ABSENCES = ábsensiz
ABSENT = ábsent
ABSENTEE = ábsentí
ABSENTEEISM = ábsentíizem
ABSENTEES = ábsentíz
ABSENTIA = ebsénśe
ABSHER = ábśer
ABSHIER = ábśier
ABSHIRE = ábśār
ABSINTHE = ábsinŧ
ABSO = ábsò
ABSOLOM = ábselem
ABSOLUT = ábselút
ABSOLUT'S = ábselúts
ABSOLUTE = ábselút
ABSOLUTELY = ábselútli
ABSOLUTENESS = ábselútnes
ABSOLUTES = ábselúts
ABSOLUTION = ábselúśen
ABSOLUTISM = ábselútizem
ABSOLUTIST = ebselútist
ABSOLVE = ebzolv
ABSOLVE(1) = ebzolv
ABSOLVED = ebzolvd
ABSOLVED(1) = ebzolvd
ABSOLVES = ebzolvz
ABSOLVES(1) = ebzolvz
ABSOLVING = ebzolviŋ
ABSOLVING(1) = ebzolviŋ
ABSORB = ebzorb
ABSORBED = ebzorbd
ABSORBENCY = ebzorbensi
ABSORBENT = ebzorbent
ABSORBER = ebzorber
ABSORBERS = ebzorberz
ABSORBING = ebzorbiŋ
ABSORBS = ebzorbz
ABSORPTION = ebzorpśen
ABSORPTION(1) = ebsorpśen
ABSTAIN = ebstēn
ABSTAIN(1) = ebstēn
ABSTAINED = ebstēnd
ABSTAINED(1) = ebstēnd
ABSTAINING = ebstēniŋ
ABSTAINING(1) = ebstēniŋ
ABSTENTION = ebsténcen
ABSTENTION(1) = ebsténcen
ABSTENTIONS = ebsténcenz
ABSTENTIONS(1) = ebsténcenz
ABSTINENCE = ábstenens
ABSTINENT = ábstenent
ABSTON = ábsten
ABSTRACT = ebstrákt
ABSTRACT(1) = ábstrákt
ABSTRACTED = ábstráktid
ABSTRACTION = ebstrákśen
ABSTRACTIONS = ebstrákśenz
ABSTRACTS = ábstrekts
ABSTRUSE = ebstrús
ABSURD = ebserd
ABSURDIST = ebserdist
ABSURDITIES = ebserdetiz
ABSURDITY = ebserdeti
ABSURDLY = ebserdli
ABT = ábt
ABT(1) = ēbítí
ABTS = ábts
ABTS(1) = ēbítíz
ABTS(2) = ēbítíés
ABU = ábú
ABUDRAHM = ebadrem
ABUELLAH = ebwéle
ABUELLAH'S = ebwélez
ABULADZE = ábyúládzi
ABUNDANCE = ebandens
ABUNDANT = ebandent
ABUNDANTLY = ebandentli
ABURTO = eburtò
ABURTO'S = eburtòz
ABUSE = ebyús
ABUSE(1) = ebyúz
ABUSED = ebyúzd
ABUSER = ebyúzer
ABUSERS = ebyúzerz
ABUSES = ebyúsiz
ABUSES(1) = ebyúziz
ABUSING = ebyúziŋ
ABUSIVE = ebyúsiv
ABUT = ebat
ABUTS = ebats
ABUTTED = ebated
ABUTTING = ebatiŋ
ABUZZ = ebaz
ABYSMAL = ebizmel
ABYSMALLY = ebizmeli
ABYSS = ebis
ABYSSINIA = ebsiníe
ABYSSINIAN = ebsiníen
ABZUG = ábzag
ABZUG(1) = ábzug
AC = ēsí
ACA = áke
ACACIA = ekēśe
ACADEME = ákedím
ACADEMIA = ákedímie
ACADEMIC = ákedémik
ACADEMICALLY = ákedémikli
ACADEMICIAN = ákedemiśen
ACADEMICIANS = ákedemiśenz
ACADEMICIANS(1) = ekádemiśenz
ACADEMICS = ákedémiks
ACADEMIES = ekádemiz
ACADEMY = ekádemi
ACADEMY'S = ekádemiz
ACADIA = ekēdie
ACAMPO = ekampò
ACAMPORA = ekámpere
ACAMPSIA = ekámpsye
ACANTHA = ekanđe
ACAPULCO = ákepulkò
ACARY = ákeri
ACCARDI = ekardi
ACCARDO = ekardò
ACCEDE = eksíd
ACCEDED = eksídid
ACCEDES = eksídz
ACCEDING = eksídiŋ
ACCEL = eksél
ACCELERANT = eksélerent
ACCELERANTS = eksélerents
ACCELERATE = eksélerēt
ACCELERATED = eksélerētid
ACCELERATES = eksélerēts
ACCELERATING = eksélerētiŋ
ACCELERATION = áksélerēśen
ACCELERATOR = eksélerēter
ACCELERATORS = eksélerēterz
ACCELEROMETER = eksélerameter
ACCELEROMETERS = eksélerameterz
ACCENT = eksént
ACCENT(1) = áksént
ACCENTED = ákséntid
ACCENTING = ákséntiŋ
ACCENTS = áksénts
ACCENTUATE = ekséncúēt
ACCENTUATED = ekséncúētid
ACCENTUATES = ekséncúēts
ACCENTUATING = ekséncúētiŋ
ACCEPT = eksépt
ACCEPT(1) = eksépt
ACCEPTABILITY = ekséptebileti
ACCEPTABLE = ekséptebel
ACCEPTABLE(1) = ekséptebel
ACCEPTABLY = ekséptebli
